datetime,code,price,stock,category,supplier,is_discounted
2025-09-04 09:16:47,12128040,5.2,90,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,24408030,12.6,180,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,24229030HD,14.7,45,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,24229040HD,14.7,45,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,03800212221623,555.0,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,8035I,146.0,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,8035II,148.0,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,8080,258.0,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,8416,374.0,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1064BR,58.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1063GRE,50.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1003BR,23.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1063,45.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1003BLA,23.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1068,4.5,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1003BLU,23.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1067,4.5,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1061R,41.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1061BLA,41.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1061GRE,41.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1003YE,23.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1005,1.25,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1061BLU,41.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1063GR,50.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1004L,26.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1061GR,41.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1003GR,23.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1003GRE,23.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1063BLU,50.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1008,4.5,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1063R,50.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1061BR,41.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1061YE,41.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1061,37.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1063YE,50.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.1063BR,50.0,15,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.5218FCE,28.0,37,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,ASTIC2540,240.0,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,ASTIC2530,240.0,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.ISRLE40MFT,99.0,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.ISRLE27MF,51.6,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,AC.4SM,10.6,65,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,CORN8C,2.2,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,CH26S,0.6,13,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,CH8S,0.3,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,CH26R,2.5,60,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,CH8R,0.3,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,B3045R36,3.0,73,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,DELFI2630S,4.0,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,DELFI2630RNM,4.3,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,DELFI2030S,7.0,6,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,DELFI2660RNM,4.3,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,DELFI2630R,3.8,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,DELFI2640RNM,4.3,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,OTIS301204830,28.5,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,LG1057G,38.0,37,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,LG1055W,37.0,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,LG1322G,35.5,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,LG1042G,27.5,37,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,LG0509G,23.5,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,LGD008G,30.0,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,LG1681G,34.0,37,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,LG7105G,49.0,37,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,LG2631W,19.0,37,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,LG2203GU10W,8.0,37,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,LG2203GU10GB,8.0,37,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,EP113,0.3,143,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,MC2LA101,0.4,81,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,MC191,0.3,132,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,MC50N,0.3,143,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,MC151162W,0.3,223,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,MC151162B,0.3,223,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,EP115,0.3,223,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,EP217,1.8,143,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,EP123,0.3,143,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,EP178,0.2,63,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,EP234,1.5,143,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,HI019AW,6.0,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,MIDCON10C,0.7,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,MIDCON8C,0.7,9,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,HI1142,27.0,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,NIKI2030RWDIM,4.0,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,NIKI860SNM,2.1,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,MARA2630RNM,4.3,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,NIKI2060SNM,3.7,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,EP124,0.3,143,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,MCPT90,0.6,143,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,HI2811,23.0,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,HI2582,23.5,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,HA2110,12.0,3,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,MICUFO20,17.0,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,HA2086,10.5,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,NIKI5030RW,20.9,8,Άγνωστη Κατηγορία,AcaLight,
2025-09-04 09:16:47,HI2642,20.0,3,Άγνωστη Κατηγορία,AcaLight,
